HPC_index,name,metal_smiles,organ_smiles,topo,LCD,PLD,VF,GSA,VSA,C2H4_100,C2H6_100
2110,hMOF-24389,[Zn][Zn],"['O=C(OF)c1c(F)c(F)c(C(=O)[O-])c2cc(F)c[c]c12', 'O=C([O-])c1cc(F)c(C(=O)[O-])c2c(F)cc(F)cc12']",pcu,6.71919,4.46554,0.470911,954.576442,1227.216485,53.56778124,7.260000588
2111,hMOF-24390,[Zn][Zn],"['O=C([O-])c1cc(F)c(C(=O)[O-])c2c(F)c(F)c(F)cc12', 'O=C(OF)c1ccc(C(=O)OF)c2[c]c(F)c(F)[c]c12']",pcu,6.31859,4.19015,0.454494,865.499158,1183.249047,51.72611223,7.059430128
2112,hMOF-24397,[Zn][Zn],"['O=C([O-])c1ccc(C(=O)[O-])c2cc(Br)ccc12', 'O=C([O-])c1[c]cc(C(=O)[O-])c2cc(Br)[c]cc12']",pcu,5.58781,3.92762,0.449429,570.396112,1001.626951,41.628987,5.814206043
2113,hMOF-24408,[Zn][Zn],"['O=C([O-])c1ccc(C(=O)[O-])c2ccccc12', 'Nc1ccc2c(C(=O)[O-])ccc(C(=O)[O-])c2c1']",pcu,5.97108,4.51682,0.464198,983.860498,1135.824788,56.57318563,7.770231337
2114,hMOF-24409,[Zn][Zn],"['Nc1cc(C(=O)[O-])c2c(N)c(N)ccc2c1C(=O)[O-]', 'Nc1cccc2c(C(=O)[O-])ccc(C(=O)[O-])c12']",pcu,5.57177,3.63487,0.473646,830.420614,1052.840743,71.32652926,8.593407619
2115,hMOF-24410,[Zn][Zn],"['Nc1ccc2c(C(=O)[O-])c(N)c(N)c(C(=O)[O-])c2c1', 'Nc1ccc2c(C(=O)[O-])c(N)cc(C(=O)[O-])c2c1']",pcu,5.95925,4.39263,0.511401,1072.204461,1286.461062,71.79513941,8.843711246
2116,hMOF-24411,[Zn][Zn],"['Nc1cc(C(=O)[O-])c2ccccc2c1C(=O)[O-]', 'Nc1cc2c(C(=O)[O-])cc(N)c(C(=O)[O-])c2c(N)c1N']",pcu,5.50158,3.7238,0.382663,496.251212,617.91666,44.90125857,6.406208789
2117,hMOF-24413,[Zn][Zn],"['O=C([O-])c1ccc(C(=O)[O-])c2c(O)cccc12', 'O=C([O-])c1c(O)c(O)c(C(=O)[O-])c2c(O)c(O)ccc12']",pcu,6.40643,4.05583,0.45851,975.483107,1180.553545,66.21854357,7.961684266
2118,hMOF-24414,[Zn][Zn],"['O=C(OO)c1ccc(C(=O)[O-])c2c(O)cc[c]c12', 'O=C(OO)c1cc(O)c(C(=O)[O-])c2cc(O)c[c]c12']",pcu,6.16942,4.46351,0.533081,1178.14501,1425.812013,76.97087323,8.828911225
2119,hMOF-24415,[Zn][Zn],"['O=C([O-])c1c(O)c(O)c(C(=O)[O-])c2cc(O)ccc12', 'O=C([O-])c1cc(O)c(C(=O)[O-])c2c(O)c(O)cc(O)c12']",pcu,6.06931,4.55,0.481646,922.244634,1160.69536,59.26904074,8.656199933
2120,hMOF-24417,[Zn][Zn],"['O=C([O-])c1c(O)cc(C(=O)[O-])c2c(O)c(O)ccc12', 'O=C([O-])c1cc(O)c(C(=O)[O-])c2cc(O)ccc12']",pcu,6.04865,4.0598,0.459796,921.833627,1115.639669,58.30301264,8.322001476
2121,hMOF-24428,[Zn][Zn],['CCCOc1ccc2c(C(=O)[O-])c(OCCC)cc(C(=O)[O-])c2c1'],pcu,4.8841,2.57321,0.254699,101.523614,168.031022,14.59141412,5.276504479
2122,hMOF-24430,[Zn][Zn],"['O=C([O-])c1ccc(C(=O)[O-])cc1', 'O=C([O-])c1c2ccccc2c(C(=O)[O-])c2ccccc12']",pcu,6.83544,5.76574,0.658634,1853.845091,1789.856786,87.69868118,11.53245336
2123,hMOF-24431,[Zn][Zn],"['O=C([O-])c1c2cc[c]cc2c(C(=O)[O-])c2c(F)[c]c(F)cc12', 'O=C([O-])c1[c]c(F)c(C(=O)[O-])c(F)c1']",pcu,6.9327,5.66452,0.683204,1491.501566,1764.230979,81.73332754,11.02987089
2124,hMOF-24432,[Zn][Zn],"['O=C([O-])c1[c]cc(C(=O)[O-])cc1', 'O=C([O-])c1c2c[c]c[c]c2c(C(=O)[O-])c2c(F)c[c]cc12']",pcu,6.72502,5.51539,0.667673,1519.588643,1756.164408,80.78304291,11.29342745
2125,hMOF-24433,[Zn][Zn],"['O=C([O-])c1[c]c(F)c(C(=O)[O-])cc1F', 'O=C([O-])c1c2ccc(F)cc2c(C(=O)[O-])c2ccc(F)cc12']",pcu,6.94862,5.66453,0.672725,1562.643598,1763.483349,82.32283605,11.18098654
2126,hMOF-24434,[Zn][Zn],"['O=C([O-])c1c2ccc(F)cc2c(C(=O)[O-])c2c(F)cc(F)cc12', 'O=C([O-])c1[c]cc(C(=O)[O-])c(F)c1']",pcu,6.65328,5.51479,0.667476,1518.503309,1754.910105,81.32907037,11.07275988
2127,hMOF-24435,[Zn][Zn],['O=C([O-])c1ccc(C(=O)[O-])c(F)c1'],pcu,5.67229,4.01258,0.555079,1461.069623,1688.517638,75.66510682,9.234405962
2128,hMOF-24444,[Zn][Zn],"['Cc1cc(C(=O)[O-])ccc1C(=O)[O-]', 'Cc1cccc2c(C(=O)[O-])c3ccccc3c(C(=O)[O-])c12']",sql,5.58165,3.01945,0.440468,601.995544,761.517854,54.20582052,9.60292748
2129,hMOF-24449,[Zn][Zn],"['O=C([O-])c1ccc(C(=O)[O-])cc1', 'O=C([O-])c1c2ccccc2c(C(=O)[O-])c2ccccc12']",pcu,5.25484,2.90215,0.44579,435.19336,586.011611,51.66168055,7.271672219
2130,hMOF-24450,[Zn][Zn],"['O=C([O-])c1ccc(C(=O)[O-])c(O)c1', 'O=C([O-])c1cc(O)c(C(=O)[O-])cc1O']",pcu,5.71999,4.09101,0.500379,1370.478718,1488.739796,67.45012634,8.169482591
2131,hMOF-24457,[Zn][Zn],"['O=C([O-])c1c2ccccc2c(C(=O)[O-])c2c(F)cccc12', 'O=C(OF)c1c2[c]c(F)ccc2c(C(=O)OF)c2[c]cccc12']",pcu,7.33826,5.66239,0.594465,1629.39272,1604.636392,71.50926588,8.06641577
2132,hMOF-24477,[Zn][Zn],"['Nc1cc2c(C(=O)[O-])c3c(N)cc(N)c(N)c3c(C(=O)[O-])c2cc1N', 'Nc1cc(-c2ccc(C(=O)[O-])cc2N)ccc1C(=O)[O-]']",pcu,10.70746,8.68585,0.746525,2802.488994,1965.99524,80.72493132,8.103190793
2133,hMOF-24493,[Zn][Zn],"['O=C([O-])c1c2ccc(F)c(F)c2c(C(=O)[O-])c2[c]cc(F)c(F)c12', 'O=C([O-])c1ccc(-c2ccc(-c3c(F)[c]c(C(=O)[O-])c(F)c3F)c(F)c2F)cc1']",pcu,14.50122,13.11444,0.800131,3319.048517,1887.99498,43.56398234,3.614384658
2134,hMOF-24494,[Zn][Zn],"['O=C([O-])c1c2ccccc2c(C(=O)[O-])c2c(F)c(F)c(F)cc12', 'O=C([O-])c1c2ccc(F)cc2c(C(=O)[O-])c2cc(F)ccc12']",pcu,8.78458,6.85019,0.646556,2182.804971,1840.005564,61.0390866,6.420498073
2135,hMOF-24495,[Zn][Zn],"['O=C([O-])c1c2ccc(F)c(F)c2c(C(=O)[O-])c2[c]ccc(F)c12', 'O=C([O-])c1[c]cc(-c2ccc(-c3c(F)[c]c(C(=O)[O-])cc3F)cc2F)c(F)c1']",pcu,14.36596,13.15786,0.800982,3328.438617,1893.331869,43.89920055,3.706071997
2136,hMOF-24496,[Zn][Zn],"['O=C([O-])c1c2ccc(F)c(F)c2c(C(=O)[O-])c2c(F)c(F)ccc12', 'O=C([O-])c1cc(F)c(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2F)cc1F']",pcu,14.46433,12.98156,0.806151,3469.304037,1890.602182,41.80516827,3.496289683
2137,hMOF-24497,[Zn][Zn],"['O=C([O-])c1c2ccc(F)cc2c(C(=O)[O-])c2cc(F)ccc12', 'O=C([O-])c1c2c[c]cc(F)c2c(C(=O)[O-])c2c(F)c[c]c(F)c12']",pcu,8.36639,6.29648,0.644694,2177.379959,1960.807807,63.73531931,6.999334543
2138,hMOF-24513,[Zn][Zn],"['Nc1cccc2c(C(=O)[O-])c3c(N)ccc(N)c3c([C][O])c12', 'Nc1cc(C(=O)[O-])ccc1-c1ccc(-c2ccc(C(=O)[O-])cc2)c(N)c1N']",pcu,14.46655,13.25488,0.764217,3581.64527,1781.168728,36.08842834,2.391019908
